City,Violent,Nonviolent,Poverty-Families,Poverty-Individuals
"Gainesville city, Georgia",1031.742343,10944.83432,16.1,21.8
"Gaithersburg city, Maryland",0,0,4.9,7.1
"Galveston city, Texas",0,0,17.8,22.3
"Garden City city, Kansas",0,0,9.9,14.3
"Garden City city, Michigan",104.8444294,1970.45854,3.3,4.5
"Garden Grove city, California",462.7180543,2813.274782,10.5,13.9
"Gardena city, California",1168.092175,3559.058458,12.3,15.7
"Garfield city, New Jersey",202.5442399,2203.112785,6.4,7.8
"Garfield Heights city, Ohio",0,0,6,8.5
"Garland city, Texas",234.2584303,4079.37929,6.8,8.9
"Gary city, Indiana",942.1754237,4642.629228,22.2,25.8
"Gastonia city, North Carolina",1378.919821,8792.335593,11.8,15
"Georgetown city, Texas",50.48705156,1695.770967,4.4,7.2
"Germantown city, Tennessee",145.4118728,2584.249598,1.6,2.1
"Gilbert town, Arizona",117.3832132,3476.642649,2.5,3.2
"Gilroy city, California",773.2811029,3489.939715,7.3,10.4
"Gladstone city, Missouri",137.8264765,2890.910344,3.1,4.7
"Glen Cove city, New York",0,0,6.2,9.1
"Glendale city, Arizona",604.6905122,6108.391237,8.8,11.9
"Glendale city, California",380.104712,2190.052356,13.6,15.5
"Glendora city, California",167.1103511,1762.431261,3.9,5.9
"Gloucester city, Massachusetts",111.1765091,1481.263488,7.1,8.8
"Goldsboro city, North Carolina",942.3905164,6664.960982,15.4,19.2
"Goose Creek city, South Carolina",0,0,5.8,6.8
"Goshen city, Indiana",1047.876476,5294.923538,6,9.3
"Grand Forks city, North Dakota",182.4582493,4454.12785,9.3,14.6
"Grand Island city, Nebraska",364.3621342,6586.36775,9.9,12.8
"Grand Junction city, Colorado",348.3597102,6637.290638,7.5,11.9
"Grand Prairie city, Texas",373.1093562,5082.150984,8.7,11.1
"Grand Rapids city, Michigan",1134.059332,5810.310606,11.9,15.7
"Grants Pass city, Oregon",226.1285093,7952.897005,12.2,14.9
"Grapevine city, Texas",100.4497409,3928.954638,3.1,4.8
"Great Falls city, Montana",548.8111985,6672.571597,11.1,14.5
"Greeley city, Colorado",349.8496942,5043.018555,10.1,16.9
"Green Bay city, Wisconsin",310.5002836,3150.781724,7.4,10.5
"Greenacres city, Florida",500.1654959,5277.48152,5,7.2
"Greenfield city, Wisconsin",113.8699106,3496.639449,3.4,4.7
"Greensboro city, North Carolina",901.1368995,6230.323352,8.6,12.3
"Greenville city, Mississippi",911.9108147,11029.22313,25.7,29.6
"Greenville city, North Carolina",863.1137607,9341.937174,15.6,26.1
"Greenville city, South Carolina",1439.008191,7959.673711,12.2,16.1
"Greenwood city, Indiana",500.5592841,4742.729306,4.6,7
"Gresham city, Oregon",429.5092912,5829.531546,8.4,12.5
"Grove City city, Ohio",177.9676099,4032.74604,3.3,4.6
"Gulfport city, Mississippi",398.7660823,8539.613272,14.1,17.7
"Hackensack city, New Jersey",403.5056157,3156.08214,6.8,9.3
"Hagerstown city, Maryland",612.1815668,4296.555421,15.1,18.1
"Haltom City city, Texas",325.4657748,3126.521617,7.6,10
"Hamilton city, Ohio",908.4544877,6676.652068,10.6,13.4
"Hammond city, Indiana",1137.024029,6709.705132,12,14.3
"Hampton city, Virginia",0,0,8.8,11.3
"Hanford city, California",393.293314,4240.840406,14.2,17.3
"Harlingen city, Texas",509.749163,6402.987837,19.3,24.9
"Harrisburg city, Pennsylvania",0,0,23.4,24.6
"Harrisonburg city, Virginia",389.7581792,3957.325747,11.5,30.1
"Hartford city, Connecticut",1118.627017,7304.859646,28.2,30.6
"Hattiesburg city, Mississippi",310.3686864,6511.811802,21.5,28.3
"Haverhill city, Massachusetts",429.1544781,3112.683704,7,9.1
"Hawthorne city, California",1677.812512,3254.05933,18.4,20.3
"Hayward city, California",577.9310963,3653.510147,7.2,10
"Hazelwood city, Missouri",0,0,4.3,6.3
"Helena city, Montana",0,0,9.3,14.5
"Hemet city, California",522.3531688,3940.219582,12.4,16.3
"Hempstead village, New York",725.6626284,2129.840313,14.4,17.7
"Henderson city, Kentucky",0,0,13.2,16.5
"Henderson city, Nevada",253.0171616,2786.997639,3.9,5.6
"Hendersonville city, Tennessee",264.4411558,2438.195978,5.2,6.2
"Hesperia city, California",249.2926512,2584.690678,11.1,14.1
"Hialeah city, Florida",742.4377224,5461.298932,16,18.6
"Hickory city, North Carolina",652.3101464,8274.938757,8.4,11.3
"High Point city, North Carolina",912.7513463,7264.957265,10.5,13.2
"Highland city, California",452.8267711,2968.279485,17.5,21.5
"Hillsboro city, Oregon",0,0,6,9.2
